"id_copernicus_phy_bgc","id_bs1km","x","y","hard_bottom","id_bs1km_depth","dist_depth","id_bs1km_wave","dist_wave","id_bs1km_wavebekkby","dist_wavebekkby","depth.count","depth.min","depth.max","depth.mean","slope.count","slope.min","slope.max","slope.mean","wave.count","wave.min","wave.max","wave.mean","wave_bekkby.count","wave_bekkby.min","wave_bekkby.max","wave_bekkby.mean","depth","chl_surface","chl_bottom","nh4_surface","nh4_bottom","no3_surface","no3_bottom","nppv_surface","nppv_bottom","o2_surface","o2_bottom","o2b","ph_surface","ph_bottom","po4_surface","po4_bottom","spco2","zsd","bottomT","mlotst","siconc","sithick","sla","so_surface","so_bottom","sob","thetao_surface","thetao_bottom","uo_surface","uo_bottom","vo_surface","vo_bottom","current_surface","current_bottom","chl_surface.1year","chl_bottom.1year","nh4_surface.1year","nh4_bottom.1year","no3_surface.1year","no3_bottom.1year","nppv_surface.1year","nppv_bottom.1year","o2_surface.1year","o2_bottom.1year","o2b.1year","ph_surface.1year","ph_bottom.1year","po4_surface.1year","po4_bottom.1year","spco2.1year","zsd.1year","bottomT.1year","mlotst.1year","siconc.1year","sithick.1year","sla.1year","so_surface.1year","so_bottom.1year","sob.1year","thetao_surface.1year","thetao_bottom.1year","uo_surface.1year","uo_bottom.1year","vo_surface.1year","vo_bottom.1year","current_surface.1year","current_bottom.1year","chl_surface.2year","chl_bottom.2year","nh4_surface.2year","nh4_bottom.2year","no3_surface.2year","no3_bottom.2year","nppv_surface.2year","nppv_bottom.2year","o2_surface.2year","o2_bottom.2year","o2b.2year","ph_surface.2year","ph_bottom.2year","po4_surface.2year","po4_bottom.2year","spco2.2year","zsd.2year","bottomT.2year","mlotst.2year","siconc.2year","sithick.2year","sla.2year","so_surface.2year","so_bottom.2year","sob.2year","thetao_surface.2year","thetao_bottom.2year","uo_surface.2year","uo_bottom.2year","vo_surface.2year","vo_bottom.2year","current_surface.2year","current_bottom.2year","chl_surface.2010","chl_bottom.2010","nh4_surface.2010","nh4_bottom.2010","no3_surface.2010","no3_bottom.2010","nppv_surface.2010","nppv_bottom.2010","o2_surface.2010","o2_bottom.2010","o2b.2010","ph_surface.2010","ph_bottom.2010","po4_surface.2010","po4_bottom.2010","spco2.2010","zsd.2010","bottomT.2010","mlotst.2010","siconc.2010","sithick.2010","sla.2010","so_surface.2010","so_bottom.2010","sob.2010","thetao_surface.2010","thetao_bottom.2010","uo_surface.2010","uo_bottom.2010","vo_surface.2010","vo_bottom.2010","current_surface.2010","current_bottom.2010","Substrate"
32064,487599,4288886.69357545,3400201.68963568,0,487043,2000,487043,2000,487043,2000,1,-10.1561946868896,-10.1561946868896,-10.1561946868896,1,0,0,0,1,1074,1074,1074,1,2.94986157144759e-41,2.94986157144759e-41,2.94986157144759e-41,10.1561946868896,3.22296524047852,3.54502534866333,3.22388434410095,3.23060250282288,280.784454345703,280.899963378906,20782.0078125,1098.56860351562,275.009918212891,274.917388916016,274.917388916016,7.97804021835327,7.97767972946167,0.788550913333893,0.789472460746765,687.765869140625,1.24263525009155,17.3358573913574,4.01756191253662,0,0,0.302021116018295,0.0989350974559784,0.09893599152565,0.0989360436797142,17.342794418335,17.3358573913574,-0.0087875984609127,-0.00841456186026335,0.0127290682867169,0,0.0154677427622177,0.00841456186026335,0.84182059392333,0.918150133142869,13.06298716863,13.0740035573641,344.334930419922,344.452095031738,4804.95502185822,294.041935284932,324.509946187337,324.455487569173,324.455487569173,7.95904036362966,7.95880349477132,1.30690401295821,1.30753907064597,706.384679158529,1.32031416893005,10.0685029029846,4.06913755337397,0.000941653009128481,0.00221634108068732,0.353596652547518,0.0989105397214492,0.0989120037605365,0.0989120546728373,10.0773977835973,10.0685029029846,-0.00836809309354673,-0.00896291710281124,0.0128840369870886,0,0.015367318115946,0.00896291710281124,1.3582512990882,1.48542929813266,12.5445095499357,12.5528819958369,349.205598195394,349.303604125977,7847.16699345907,413.42965148886,320.761765797933,320.697091420492,320.697091420492,7.95166031519572,7.95139620701472,1.33345991869767,1.33411363263925,724.504740397135,1.30554562310378,10.5388742884,4.05712839961052,0.000470826504564241,0.00110817054034366,0.341587495369216,0.0990313331906994,0.0990323256701231,0.0990323765824239,10.5474179784457,10.5388742884,-0.00884538407747944,-0.00926889248269921,0.0136193429546741,0,0.0162468150895008,0.00926889248269921,1.21553009624283,1.32878146853505,11.2453229824702,11.2539316548242,310.95959493849,311.051812065972,7015.5333357652,381.879638061755,324.988357543945,324.931916342841,324.931916342841,7.96900507145458,7.96875080135134,1.34677115289701,1.34741035310758,698.999795913696,1.3105454047521,10.3633643173509,4.02608744303385,0.000452398481187216,0.00314081003064833,0.310546557703573,0.0990389374395211,0.0990399226753248,0.0990399734841453,10.3714472982619,10.3633643173509,-0.0087113871866475,-0.00911351684125192,0.0133696618221519,0,0.0159712590920068,0.00911351684125192,"SU24"
32234,494638,4600558.79947288,3408267.54365226,0,494639,1000,494638,0,494639,1000,1,-1.50000882148743,-1.50000882148743,-1.50000882148743,1,0.00162111467216164,0.00162111467216164,0.00162111467216164,11,5881.5,6919.5,6455.77272727273,11,0.53,159.01,99.6881818181818,1.50000882148743,9.49399757385254,10.0524063110352,1.64732325077057,1.65381383895874,139.049240112305,139.101181030273,66725.34375,6864.896484375,279.116851806641,278.526763916016,278.526763916016,8.9549732208252,8.95485019683838,0.584305226802826,0.588851451873779,12.4091243743896,1.12890565395355,18.6762523651123,3.34558272361755,0,0,0.273469567298889,0.0364717841148376,0.0364691503345966,0.0364691503345966,18.6910705566406,18.6762523651123,0.00142685091122985,-0.00108282675500959,0,0,0.00142685091122985,0.00108282675500959,6.06004499395688,6.45048686365287,1.150833979249,1.152253155907,201.909865061442,201.942518870036,35296.804049174,3558.57837231954,361.089230855306,360.548688252767,360.548688252767,7.90472702185313,7.9031986395518,1.88284090161324,1.88888919353485,235.686239083608,1.76876306533813,10.1860287015637,3.2095952630043,0.0690678637474775,0.014782579926153,0.13748202783366,0.14320675500979,0.143652632832527,0.143652632832527,10.1883686656753,10.1860287015637,0.00071549705171492,-0.000531451341278929,0,0,0.00101967343653087,0.000756946478456181,6.90726197014252,7.28858932107687,1.37243209282557,1.37840301543474,202.476939519246,202.520920435588,39631.694296519,5516.56664689382,354.140446980794,353.535537719727,353.535537719727,7.9580418864886,7.95690588156382,1.907503404965,1.91330563649535,236.558740019798,2.22734018663565,10.5479257019858,3.18668878078461,0.0345339318737388,0.00739128996307651,0.11457554025886,0.336338085277627,0.336600318240623,0.336600318240623,10.5577553994954,10.5479257019858,0.000583382825955899,-0.000445646298127637,0,0,0.00117768081637829,0.000953397261279557,7.12129902922445,7.53332430827949,1.3688886049721,1.36923126172688,185.433576001061,185.349369843801,38587.3850212097,5650.7448961205,358.017054451836,357.523712793986,357.523712793986,7.95602264669206,7.95604773693615,1.75608090259549,1.75966645270172,259.496244094438,2.0292296860781,10.5057673655554,3.12455559935835,0.0788823682596558,0.0191492600554031,0.0524423508771482,0.301515210458698,0.302910209898578,0.302910209898578,10.5088402260509,10.5057673655554,0.000332979513826912,-0.000287634019798588,0,0,0.00124255916525979,0.00101191564123661,"SU27"
32235,494640,4602389.59458233,3408375.07155206,0,494640,0,494640,0,494640,0,1,-1.40000092983246,-1.40000092983246,-1.40000092983246,1,0.0163924153894186,0.0163924153894186,0.0163924153894186,8,6623,7571,7046,8,108.49,621.04,300.2875,1.40000092983246,9.81938362121582,10.4341793060303,1.62459921836853,1.63013684749603,140.432205200195,140.494247436523,68815.8671875,6765.53857421875,280.374420166016,279.836090087891,279.836090087891,8.92416095733643,8.92365455627441,0.615100502967834,0.619747638702393,14.0175294876099,1.11633265018463,18.6963787078857,3.34650278091431,0,0,0.27438947558403,0.0341951511800289,0.0341731384396553,0.0341731384396553,18.7105350494385,18.6963787078857,0.00124293484259397,-0.00125483446754515,0.000147683807881549,0.000396679417463019,0.00125167788589736,0.00131604107123529,5.90964288512866,6.30200943350792,1.17594715952873,1.16919149458408,203.919148763021,203.745170593262,34808.424718221,3430.38854471842,361.237121582031,360.526280721029,360.526280721029,7.88693010807037,7.88656572500865,1.89522862434387,1.89941387871901,243.401232043902,1.72785234451294,10.1897634764512,3.21037799119949,0.0581251848489046,0.0134327299892902,0.138264748888711,0.129213855601847,0.13081615511328,0.13081615511328,10.1945921083291,10.1897634764512,0.000552300437448139,-0.000710191328228878,0.000786669702695993,-1.57354645959155e-05,0.0014860085420407,0.0011652533820404,6.73302550862233,7.11328892409801,1.37759334842364,1.37832967936993,205.136765797933,205.071848551432,39372.8219324748,5343.4957224528,354.400581359863,353.751434326172,353.751434326172,7.94164260228475,7.94107772906621,1.92386942605178,1.92846551785866,241.836489319801,2.16659661630789,10.5571059981982,3.18752411007881,0.0290625924244523,0.00671636499464512,0.115410856902599,0.307720241292069,0.308918562252074,0.308918562252074,10.5667083313068,10.5571059981982,0.000397272745582692,-0.000584888806467158,0.000895140629533368,-9.61109311579851e-05,0.00175575538743894,0.00147463511352855,6.96511632597281,7.37634805134601,1.37653355259034,1.37190484027896,187.787898964352,187.664688428243,38495.3948033651,5508.35486774974,357.98411348131,357.608373006185,357.608373006185,7.94131651189592,7.94205634792646,1.77406425267044,1.77726672838132,268.229441669252,1.99533695437842,10.5094612898667,3.12524211406708,0.0695147897818566,0.0179085849651731,0.0531288745615812,0.285311449021618,0.288047582337943,0.288047582337943,10.5113803978052,10.5094612898667,0.000188745342155825,-0.00043632818428326,0.000893459704382988,-0.000150618191039737,0.00183171289352609,0.00159326376011056,"SU27"
32236,494642,4604220.34170774,3408483.30169077,0,494641,1000,494642,0,494641,1000,2,-1.03242492675781,-0.197266921401024,-0.614845924079418,2,0.0314522162079811,0.0354156270623207,0.0334339216351509,16,6098,7925,7141.46875,16,417.17,7549.5,2997.291875,0.614845924079418,10.1578178405762,10.8311548233032,1.55874633789062,1.56387531757355,142.536254882812,142.590850830078,71108.984375,6662.05712890625,281.999420166016,281.478698730469,281.478698730469,8.87572288513184,8.87495613098145,0.671543717384338,0.675842463970184,16.2144794464111,1.10336530208588,18.7649402618408,3.34744954109192,0,0,0.275336384773254,0.0313821099698544,0.0313729271292686,0.0313729271292686,18.7781429290771,18.7649402618408,0.00105901877395809,-0.00142684229649603,-0.000552481797058135,-0.000426450045779347,0.00119446929624678,0.00148920736655957,5.81150856117408,6.21454593042533,1.21817169090112,1.20343514283498,205.951952616374,205.73708597819,34473.5332972209,3277.00898138682,361.396319071452,360.729225158691,360.729225158691,7.86740489800771,7.86838475863139,1.90817574163278,1.91215565303961,252.158281882604,1.68333717187246,10.2036394228538,3.21115853389104,0.0608178414404392,0.012610223920395,0.139045296236873,0.114995246908317,0.117046189494431,0.117046189494431,10.2083712716897,10.2036394228538,0.000389103832276305,-0.000888931335490876,-7.23260836821282e-05,-0.000565306017657955,0.00135429579343902,0.00128967785802946,6.58527538428704,6.96708818773429,1.39461283137401,1.38959446797768,207.974381128947,207.882304509481,39299.171459198,5109.0235209465,354.845826466878,354.240652720133,354.240652720133,7.92188719908396,7.92197895050049,1.94204221417507,1.94640273352464,248.524203916391,2.08850369850794,10.5659978315234,3.18837214509646,0.0304089207202196,0.00630511196019749,0.116258890523265,0.271591687186932,0.273171812761575,0.273171812761575,10.574816763401,10.5659978315234,0.000211162686052072,-0.00072413133837775,-3.11688654619502e-06,-0.000612431296910169,0.00159456770278224,0.00164934372006107,6.81937167917689,7.22073875595298,1.38858402810163,1.37908702260918,190.384687741598,190.246574984656,38619.9491938485,5327.44653746817,358.154853820801,357.829348458184,357.829348458184,7.92220687866211,7.92342331343227,1.79644010666137,1.79969030292705,278.745564046833,1.95261147080196,10.5140578766457,3.12593452963564,0.071859314522347,0.0181909816375183,0.0538212753898632,0.26547953284656,0.268472101319478,0.268472101319478,10.5151034772603,10.5140578766457,4.45111808049761e-05,-0.000585022342710949,0.00011988354312267,-0.000635591609856255,0.00163008186810279,0.00179337436057846,"SU27"
32239,494647,4609712.2920536,3408812.20542576,0,494672,1414.2135623731,494647,0,494619,2236.06797749979,1,-2.0000102519989,-2.0000102519989,-2.0000102519989,1,0,0,0,16,29451.5,36301,32650.71875,3,28334.5,29906.5,28879.5,2.0000102519989,2.94450664520264,3.2559494972229,0.363631695508957,0.363763898611069,168.483657836914,168.500518798828,17309.185546875,477.067443847656,282.359771728516,282.212127685547,282.212127685547,7.54961109161377,7.54682874679565,1.56960868835449,1.57099139690399,373.771820068359,1.25584852695465,18.7502861022949,4.41782855987549,0,0,0.278473407030106,0.0135078802704811,0.0135065652430058,0.0135065652430058,18.7768306732178,18.7502861022949,-0.00699624372646213,-0.0101466719061136,0.00852219946682453,0.00937445648014545,0.0110261194457708,0.0138143181181141,2.11693881389995,2.28184275453289,2.88796386867762,2.8807640572389,225.795370737712,225.778683980306,12096.6214962006,308.89568400383,351.900466918945,351.469062805176,351.469062805176,7.33493177096049,7.32801493008931,2.28547282020251,2.28827894727389,637.133542378744,1.3562448322773,10.2511069277922,4.2814241250356,0.0436018949064116,0.00863572962892552,0.142068908549845,0.023683458333835,0.0237133312815179,0.0237133312815179,10.2637459933758,10.2511069277922,-0.00965716604453822,-0.0120553093147464,0.0117797599377809,0.01053465695198,0.0152789174843584,0.0160608116613672,2.26956793262313,2.41593000106514,2.4855362350742,2.48049572606881,232.692352294922,232.584812164307,13352.1309461594,453.779823660851,347.082361857096,346.611080169678,346.611080169678,7.36728588740031,7.36145617564519,2.33161799112956,2.33411148935556,581.152143160502,1.53224680821101,10.6620013564825,4.25905229647954,0.0218009474532058,0.00431786481446276,0.119697068507473,0.0678782414179295,0.0705956644378603,0.0705956644378603,10.6838843176762,10.6620013564825,-0.0111647634961021,-0.0132588199254921,0.0136784815331339,0.0112502975631893,0.0184403146887294,0.0181603465530263,2.95829706685618,3.13312359278401,2.29002144280821,2.2845138196523,212.970924377441,212.842881997426,16514.4006928205,662.157320631875,350.929921468099,350.39909807841,350.39909807841,7.39968636631966,7.39322315322028,2.18981843917734,2.19180614584022,625.924887610806,1.54210175698002,10.5504976788329,4.19605920381016,0.0470363595038068,0.0117714166186084,0.0567040014454202,0.111783328983519,0.114481365528061,0.114481365528061,10.5678717801347,10.5504976788329,-0.0101908152748567,-0.0118753780823479,0.0123912283003544,0.0100459440889911,0.0173186024405113,0.0172042482942859,"SU27"
32240,494649,4611542.84411675,3408923.2444051,0,494672,3162.27766016838,494649,0,494619,4123.10562561766,1,-2.0000102519989,-2.0000102519989,-2.0000102519989,1,0,0,0,16,35559.5,41231.5,38561.9375,3,28334.5,29906.5,28879.5,2.0000102519989,3.24296259880066,3.58603239059448,0.374748229980469,0.374700397253036,168.445190429688,168.472839355469,19080.064453125,498.266784667969,282.959869384766,282.800811767578,282.800811767578,7.52752017974854,7.52332162857056,1.57044148445129,1.57251989841461,407.252563476562,1.24711930751801,18.7169399261475,4.41867160797119,0,0,0.279316395521164,0.0134582659229636,0.0134555455297232,0.0134555455297232,18.7464427947998,18.7169399261475,-0.00609898706898093,-0.00927648413926363,0.0036267212126404,0.00495522050186992,0.0070958262395448,0.0105170037657197,1.67069725506008,1.78255595763524,3.81922285010417,3.82347549498081,225.689613342285,225.596321105957,9556.61023775736,306.787161012491,349.84494527181,349.43020884196,349.43020884196,7.23256142934163,7.22395384311676,2.31503729025523,2.31736108660698,819.532867431641,1.36051163077354,10.2770339945952,4.28216842810313,0.0437158868492891,0.00761214597150683,0.142813217205306,0.0227365382791807,0.0228014561968545,0.0228014561968545,10.2870753407478,10.2770339945952,-0.00889994081808254,-0.011484808337021,0.00660244141666529,0.0056708378251642,0.0111410709547334,0.0129061751807118,2.15811356063932,2.29704068352779,3.28446442261338,3.27778250227372,232.637658437093,232.369721094767,12916.5002291997,450.798596292734,345.639714558919,345.167494455973,345.167494455973,7.27936027447383,7.27309423685074,2.35233797132969,2.35278461873531,733.549622853597,1.51086216668288,10.6939089546601,4.25986051559448,0.0218579434246446,0.00380607298575342,0.120505318666498,0.0604625602718443,0.0652947497631734,0.0652947497631734,10.7160214086374,10.6939089546601,-0.0102313928849374,-0.0126600596783343,0.00794396179359561,0.00570106228406075,0.0135983190920557,0.0147015568295607,2.90983551688906,3.07028383642642,2.97755062476628,2.97803722756604,212.898685773214,212.578939225939,16479.0286302699,660.310584953262,349.737155066596,349.172101338704,349.172101338704,7.31890012158288,7.31015718976657,2.20762369326419,2.20720020433267,771.643459220727,1.52463289226095,10.5570330969575,4.19674815734227,0.0451821113185081,0.011019223490924,0.0573929926766949,0.103858440687569,0.109134389514414,0.109134389514414,10.5797244081688,10.5570330969575,-0.00940806134005672,-0.0114086119670497,0.00731982788218172,0.00502960045019386,0.0127873038198234,0.014010648956015,"SU27"
32241,494625,4613373.3466328,3409034.98556548,0,494672,5385.1648071345,494625,0,494619,6000,1,-2.0000102519989,-2.0000102519989,-2.0000102519989,1,0,0,0,12,44673,49763,47549.125,3,28334.5,29906.5,28879.5,2.0000102519989,3.25234436988831,3.59539747238159,0.389673411846161,0.38917550444603,168.685348510742,168.716674804688,19614.546875,531.163818359375,283.436706542969,283.272674560547,283.272674560547,7.46822643280029,7.46314334869385,1.60235035419464,1.60483598709106,477.164947509766,1.24545395374298,18.6570587158203,4.41944360733032,0,0,0.280088573694229,0.0133712943643332,0.0133684389293194,0.0133684389293194,18.6882457733154,18.6570587158203,-0.00514242285862565,-0.00823265314102173,-0.00152196222916245,0.000388856045901775,0.00536291729228717,0.00824183151761848,1.4261904557546,1.51332777676483,4.77952089160681,4.80165068556865,224.144298553467,224.041184743245,8275.62910397848,307.917781273524,347.804852803548,347.468803405762,347.468803405762,7.12037014961243,7.11126585801442,2.32667082548141,2.32901179790497,1057.96882375081,1.36414703726768,10.2754853467147,4.28283659617106,0.0382308195403311,0.00719849516948064,0.143481455743313,0.0222863128098349,0.0223017503352215,0.0223017503352215,10.2920660376549,10.2754853467147,-0.00791635567050738,-0.0108547741547227,0.000403465220491247,-1.04424743767595e-05,0.00811679455333929,0.0112843185795717,2.06273832296332,2.16930798844745,4.09043633068601,4.08198088531693,231.149099985758,230.911142349243,12567.0336758296,458.003488341967,343.828667958577,343.352870941162,343.352870941162,7.17730947335561,7.17009886105855,2.3582193950812,2.36005722482999,947.437926610311,1.51401206851006,10.704486772418,4.26057553291321,0.0191154097701656,0.00359924758474032,0.121220351352046,0.0619770845708748,0.0665141933520014,0.0665141933520014,10.7322019934654,10.704486772418,-0.00899276511336211,-0.011744905692467,0.000832515620004415,-0.00111458350662967,0.00956012582072679,0.0128599685547321,2.87361791528141,3.01085853711185,3.75500055340429,3.75656713172793,211.78225130505,211.377903249529,16656.3261652523,664.269887502823,348.208950254652,347.642959382799,347.642959382799,7.2208764884207,7.21149191591475,2.21463594854706,2.21298311443792,986.205786314276,1.52272823701302,10.5437586071591,4.19735470414162,0.0430894589665816,0.0109533018403454,0.0579995215699051,0.101245962840039,0.107974134767169,0.107974134767169,10.5717487173776,10.5437586071591,-0.00860558964214104,-0.0109526891177059,0.00120921523524784,-0.000751788914695024,0.00944329454740684,0.0126848929791497,"SU27"
32242,494627,4615203.79928916,3409147.42889508,0,494658,5099.01951359279,494627,0,494658,5099.01951359279,1,-5.08511539010215e-06,-5.08511539010215e-06,-5.08511539010215e-06,1,0,0,0,9,48324.5,49660.5,48931.2222222222,13,16628.86,39330.5,34720.6507692308,5.08511539010215e-06,2.06948614120483,2.28200006484985,0.376542687416077,0.376431316137314,171.740768432617,171.793121337891,13273.4169921875,158.133895874023,282.099945068359,281.820495605469,281.820495605469,7.30664873123169,7.29849338531494,1.76422739028931,1.76800537109375,670.347961425781,1.27880883216858,18.5770645141602,5.05209445953369,0,0,0.280796825885773,0.013241465203464,0.0132377222180367,0.0132377222180367,18.6172542572021,18.5770645141602,-0.006040183827281,-0.0104693192988634,-5.39554130227771e-05,0.00380637682974339,0.00604042480740729,0.0111398003191961,1.163977580145,1.2200166999052,6.29452289144198,6.30348408470551,224.174218495687,224.179220835368,7070.41750526428,98.4569991827011,345.748273213704,345.254786173503,345.254786173503,6.97810045878092,6.96416199207306,2.37512369950612,2.37983578443527,1437.0119527181,1.35803211728732,10.2634860376517,4.9153680006663,0.0339826918599707,0.00627745232001568,0.144070459840198,0.0200553128185372,0.020059685378025,0.020059685378025,10.2989777127902,10.2634860376517,-0.00809363252483308,-0.0125417389596502,0.000951877162454669,0.00187837531363281,0.00874270986402906,0.0148289424419802,1.73136019489417,1.79976664390415,5.39790703356266,5.34070969497164,231.564356486003,231.117544809977,10761.2779989243,155.05871762832,341.535340627034,340.917316436768,340.917316436768,7.03286522626877,7.02467622359594,2.40984201431274,2.41296821832657,1302.83193206787,1.47967858115832,10.7066863924265,4.89315541585286,0.0169913459299854,0.00313872616000784,0.121857911503563,0.0493639397512501,0.0600535440801953,0.0600535440801953,10.7521169384321,10.7066863924265,-0.00876018214815607,-0.0119908827473409,0.000481392105484701,-0.000611078652582364,0.00980815112266472,0.0158611814676323,2.6633778543522,2.74904131775515,4.8897387203243,4.86558405082259,212.331642150879,211.69495762719,15880.0893277195,264.929160404536,346.284249199761,345.481713824802,345.481713824802,7.08526630202929,7.07295563485887,2.26394145728813,2.26109560330709,1318.30136570666,1.49455085603727,10.5393429669655,4.82983315322134,0.0404017937382959,0.0104730513784388,0.0585357035969436,0.0890704681062036,0.101603880796271,0.101603880796271,10.5815460609479,10.5393429669655,-0.00874515183831035,-0.0118343036853427,0.00119770322840572,-0.000208346563441511,0.0103024141015983,0.016090695160458,"SU27"
32243,494629,4617034.20177322,3409260.57438203,0,494658,3162.27766016838,494629,0,494658,3162.27766016838,1,-5.08511539010215e-06,-5.08511539010215e-06,-5.08511539010215e-06,1,0,0,0,9,44993,46451.5,45748.2222222222,13,16628.86,39330.5,34720.6507692308,5.08511539010215e-06,1.66013300418854,1.81950199604034,0.527000427246094,0.531359493732452,176.157424926758,176.210159301758,11319.744140625,157.688354492188,279.770935058594,279.385711669922,279.385711669922,7.09147644042969,7.08039569854736,1.92999172210693,1.93402481079102,1079.67236328125,1.29306280612946,18.5074634552002,5.03295278549194,0,0,0.281501114368439,0.0131293125450611,0.013125516474247,0.013125516474247,18.5476856231689,18.5074634552002,-0.00778821622952819,-0.0104693192988634,0.00402435753494501,0.00553403003141284,0.00876651387992713,0.0118419649961539,0.948325745140513,0.999912034099301,8.59240601460139,8.61302953461806,224.445941925049,224.407928466797,6030.85476620992,92.4928018550078,343.451446533203,343.015113830566,343.015113830566,6.8252596060435,6.81126507123311,2.44126951694489,2.44493093093236,2026.81585693359,1.34762434164683,10.2208445072174,4.89609384536743,0.0276833586200761,0.00535187621911367,0.144642344055076,0.0172980685407917,0.0173607237326602,0.0173607237326602,10.2832271258036,10.2208445072174,-0.0101101294858381,-0.0125417389596502,0.0075409358056883,0.00696228981693518,0.0130763848904449,0.0162885190872205,1.40116859413683,1.43755344301462,7.60688040902217,7.49656723439693,231.771903355916,231.466581980387,9003.93221696218,109.63690281411,338.51047261556,338.046483357747,338.046483357747,6.85316123565038,6.84631558259328,2.47318824132284,2.47726609309514,1890.22217559814,1.41329514483611,10.7090298235416,4.87393343448639,0.0138416793100381,0.00267593810955683,0.122481937985867,0.0308874087641016,0.0400522098255654,0.0400522098255654,10.7760063509146,10.7090298235416,-0.0100922476704,-0.0119908827473409,0.00727509166730063,0.00491970205212056,0.0128315225209813,0.0159214086099837,2.36454067948378,2.41926583037194,6.7203395548794,6.67740637953911,213.095153278775,212.260380533006,14652.8448173867,235.120427591933,344.036624908447,343.356415006849,343.356415006849,6.91769021749496,6.9079788128535,2.33945377667745,2.33189148869779,1837.52217208015,1.45385908956329,10.5227290971412,4.81052085094982,0.0378380260246761,0.009753370942134,0.0590693463059324,0.0714652103811709,0.0867918818451775,0.0867918818451775,10.584836402494,10.5227290971412,-0.0104178511904441,-0.0118343036853427,0.00799128647319473,0.00478998958619235,0.0139603454091964,0.0166235951439883,"SU27"
32244,494630,4618864.55377236,3409374.42201439,0,494658,2236.06797749979,494630,0,494658,2236.06797749979,1,-5.08511539010215e-06,-5.08511539010215e-06,-5.08511539010215e-06,1,0,0,0,12,43156,44910,44013,13,16628.86,39330.5,34720.6507692308,5.08511539010215e-06,1.23712873458862,1.31853592395782,1.22225093841553,1.24602830410004,179.543197631836,179.580917358398,8781.1201171875,375.076721191406,274.677154541016,274.217681884766,274.217681884766,6.85424852371216,6.84507179260254,2.06777787208557,2.07153868675232,1891.95922851562,1.3091893196106,18.4063053131104,4.42180395126343,0,0,0.282448887825012,0.0130309369415045,0.0130282528698444,0.0130282528698444,18.4434032440186,18.4063053131104,-0.0079820416867733,-0.0111658945679665,0.0114150503650308,0.0129455337300897,0.0139289757098494,0.0170957317790094,0.775207369277875,0.753934611255924,11.6950234075387,11.7779126067956,223.689320882161,223.610089619954,5261.92195034027,201.798445393642,340.5556640625,340.023981730143,340.023981730143,6.66698090235392,6.65206122398376,2.50034086902936,2.50509597857793,2792.11821492513,1.33548696835836,10.1820821563403,4.2849276860555,0.0206861332577925,0.00452620505044858,0.145572526690861,0.0143614524664978,0.01436455330501,0.01436455330501,10.2685311039289,10.1820821563403,-0.012184458571331,-0.0144737568140651,0.0210522820707411,0.0209277424340447,0.024682162563786,0.0255244287589704,0.938652696087956,0.928338043702145,10.9796548460921,11.028264477849,230.132925669352,230.082602818807,6067.73328224818,231.743437354763,334.38415145874,333.904070536296,333.904070536296,6.66705620288849,6.65601156155268,2.52373225986958,2.52789018551509,2735.20869445801,1.35927668213844,10.7603552440802,4.26282082001368,0.0103430666288962,0.00226310252522429,0.123465694952756,0.018612348396952,0.0187310148418571,0.0187310148418571,10.834736675024,10.7603552440802,-0.011910673143575,-0.0140195184940239,0.0218410632805899,0.020933740423061,0.0254702505429795,0.0255896837561274,1.63848390911395,1.66194674439935,9.43823937492238,9.43641715165642,213.957899623447,213.363431294759,10288.4391883744,417.920925030278,340.427728441026,340.073656929864,340.073656929864,6.7223777241177,6.71605705552631,2.44301889836788,2.43623344682985,2609.86688232422,1.41663777745432,10.5327017340395,4.1993153889974,0.0298517968107666,0.00847838847322338,0.0599602137893574,0.0475105682271533,0.056703027331322,0.056703027331322,10.6067183487531,10.5327017340395,-0.0125477357738014,-0.0141746918872943,0.0226509404441862,0.0197540217593289,0.0266475218656123,0.0252695799482153,"SU27"
