"id_bs1km","x","y","depth.mean","wave_bekkby.mean","id_copernicus_phy_bgc"
1,4985500,4819500,6.23131484189798e-07,976.073333333333,584253
2,4986500,4819500,6.23131484189798e-07,976.073333333333,584253
3,4987500,4819500,6.23131484189798e-07,976.073333333333,584253
4,4984500,4818500,6.23131484189798e-07,976.073333333333,584253
5,4985500,4818500,6.23131484189798e-07,976.073333333333,584253
6,4986500,4818500,6.23131484189798e-07,976.073333333333,584253
7,4987500,4818500,6.23131484189798e-07,976.073333333333,584253
8,4988500,4818500,6.23131484189798e-07,976.073333333333,584253
9,4965500,4817500,2.16835047694985e-07,29720.85625,587292
10,4966500,4817500,2.16835047694985e-07,29720.85625,587292
11,4967500,4817500,2.16835047694985e-07,29720.85625,587292
12,4968500,4817500,3.19999861717224,12082.9025,587292
13,4984500,4817500,6.23131484189798e-07,976.073333333333,584253
14,4985500,4817500,6.23131484189798e-07,976.073333333333,584253
15,4986500,4817500,6.23131484189798e-07,976.073333333333,584253
16,4987500,4817500,6.23131484189798e-07,976.073333333333,584253
17,4988500,4817500,6.23131484189798e-07,976.073333333333,584253
18,4965500,4816500,2.16835047694985e-07,29720.85625,587292
19,4966500,4816500,2.16835047694985e-07,29720.85625,587292
20,4967500,4816500,2.16835047694985e-07,29720.85625,587292
21,4968500,4816500,3.19999861717224,12082.9025,587292
22,4984500,4816500,6.23131484189798e-07,976.073333333333,584253
23,4985500,4816500,6.23131484189798e-07,976.073333333333,584253
24,4986500,4816500,6.23131484189798e-07,976.073333333333,584253
25,4987500,4816500,6.23131484189798e-07,976.073333333333,584253
26,4988500,4816500,6.23131484189798e-07,976.073333333333,584253
27,4965500,4815500,2.16835047694985e-07,29720.85625,587292
28,4966500,4815500,2.16835047694985e-07,29720.85625,587292
29,4967500,4815500,2.16835047694985e-07,29720.85625,587292
30,4968500,4815500,3.19999861717224,12082.9025,587292
31,4970500,4815500,3.19999861717224,12082.9025,587292
32,4971500,4815500,3.19999861717224,12082.9025,586533
33,4972500,4815500,3.19999861717224,12082.9025,586533
34,4984500,4815500,6.23131484189798e-07,976.073333333333,584253
35,4985500,4815500,6.23131484189798e-07,976.073333333333,584253
36,4986500,4815500,6.23131484189798e-07,976.073333333333,584253
37,4987500,4815500,6.23131484189798e-07,976.073333333333,584253
38,4988500,4815500,6.23131484189798e-07,976.073333333333,584253
39,4965500,4814500,2.16835047694985e-07,29720.85625,587292
40,4966500,4814500,2.16835047694985e-07,29720.85625,587292
41,4967500,4814500,2.16835047694985e-07,29720.85625,587292
42,4968500,4814500,2.16835047694985e-07,29720.85625,587292
43,4969500,4814500,3.19999861717224,12082.9025,587292
44,4970500,4814500,3.19999861717224,12082.9025,586532
45,4971500,4814500,3.19999861717224,12082.9025,586532
46,4972500,4814500,3.19999861717224,12082.9025,586533
47,4973500,4814500,3.19999861717224,11635.8608333333,586533
48,4984500,4814500,6.23131484189798e-07,976.073333333333,584253
49,4985500,4814500,6.23131484189798e-07,976.073333333333,584253
